Model,Dataset,Config,Seed,ConfidenceGap
GroNLP/hateBERT,ieee,prep0_aug0,seed_14298463,0.204081
GroNLP/hateBERT,ieee,prep0_aug0,seed_24677315,0.144905
GroNLP/hateBERT,ieee,prep0_aug0,seed_37622020,0.283059
GroNLP/hateBERT,ieee,prep0_aug0,seed_43782163,0.119359
GroNLP/hateBERT,ieee,prep0_aug0,seed_52680723,0.134953
GroNLP/hateBERT,ieee,prep0_aug0,seed_67351593,0.152027
GroNLP/hateBERT,ieee,prep0_aug0,seed_70681460,0.143658
GroNLP/hateBERT,ieee,prep0_aug0,seed_87212562,0.285234
GroNLP/hateBERT,ieee,prep0_aug0,seed_90995999,0.126485
GroNLP/hateBERT,ieee,prep0_aug0,seed_99511865,0.090224
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_14298463,0.126463
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_24677315,0.095384
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_37622020,0.132086
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_43782163,0.099321
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_52680723,0.061706
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_67351593,0.138526
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_70681460,0.098571
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_87212562,0.292326
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_90995999,0.0766
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_99511865,0.141931
albert/albert-base-v2,ieee,prep0_aug0,seed_14298463,0.150125
albert/albert-base-v2,ieee,prep0_aug0,seed_24677315,0.141547
albert/albert-base-v2,ieee,prep0_aug0,seed_37622020,0.139288
albert/albert-base-v2,ieee,prep0_aug0,seed_43782163,0.309549
albert/albert-base-v2,ieee,prep0_aug0,seed_52680723,0.145448
albert/albert-base-v2,ieee,prep0_aug0,seed_67351593,0.152244
albert/albert-base-v2,ieee,prep0_aug0,seed_70681460,0.185304
albert/albert-base-v2,ieee,prep0_aug0,seed_87212562,0.120451
albert/albert-base-v2,ieee,prep0_aug0,seed_90995999,0.190094
albert/albert-base-v2,ieee,prep0_aug0,seed_99511865,0.146731
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_14298463,0.245316
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_24677315,0.1808
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_37622020,0.169509
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_43782163,0.270119
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_52680723,0.206007
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_67351593,0.197496
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_70681460,0.215411
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_87212562,0.20163
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_90995999,0.146927
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_99511865,0.201546
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_14298463,0.246116
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_24677315,0.210415
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_37622020,0.170558
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_43782163,0.236286
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_52680723,0.306166
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_67351593,0.209259
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_70681460,0.180612
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_87212562,0.167052
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_90995999,0.184512
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_99511865,0.164684
all-distilroberta-v1,ieee,prep0_aug0,seed_14298463,0.245007
all-distilroberta-v1,ieee,prep0_aug0,seed_24677315,0.375872
all-distilroberta-v1,ieee,prep0_aug0,seed_37622020,0.253353
all-distilroberta-v1,ieee,prep0_aug0,seed_43782163,0.165947
all-distilroberta-v1,ieee,prep0_aug0,seed_52680723,0.143588
all-distilroberta-v1,ieee,prep0_aug0,seed_67351593,0.169983
all-distilroberta-v1,ieee,prep0_aug0,seed_70681460,0.171104
all-distilroberta-v1,ieee,prep0_aug0,seed_87212562,0.2033
all-distilroberta-v1,ieee,prep0_aug0,seed_90995999,0.137644
all-distilroberta-v1,ieee,prep0_aug0,seed_99511865,0.202341
all-mpnet-base-v2,ieee,prep0_aug0,seed_14298463,0.146354
all-mpnet-base-v2,ieee,prep0_aug0,seed_24677315,0.14235
all-mpnet-base-v2,ieee,prep0_aug0,seed_37622020,0.110267
all-mpnet-base-v2,ieee,prep0_aug0,seed_43782163,0.130984
all-mpnet-base-v2,ieee,prep0_aug0,seed_52680723,0.151609
all-mpnet-base-v2,ieee,prep0_aug0,seed_67351593,0.13085
all-mpnet-base-v2,ieee,prep0_aug0,seed_70681460,0.122595
all-mpnet-base-v2,ieee,prep0_aug0,seed_87212562,0.132215
all-mpnet-base-v2,ieee,prep0_aug0,seed_90995999,0.182062
all-mpnet-base-v2,ieee,prep0_aug0,seed_99511865,0.134573
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_14298463,0.193573
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_24677315,0.167282
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_37622020,0.145764
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_43782163,0.094419
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_52680723,0.371551
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_67351593,0.22263
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_70681460,0.149037
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_87212562,0.21222
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_90995999,0.191091
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_99511865,0.131774
bert-base-cased,ieee,prep0_aug0,seed_14298463,0.26752
bert-base-cased,ieee,prep0_aug0,seed_24677315,0.236275
bert-base-cased,ieee,prep0_aug0,seed_37622020,0.107087
bert-base-cased,ieee,prep0_aug0,seed_43782163,0.144917
bert-base-cased,ieee,prep0_aug0,seed_52680723,0.133173
bert-base-cased,ieee,prep0_aug0,seed_67351593,0.275581
bert-base-cased,ieee,prep0_aug0,seed_70681460,0.116285
bert-base-cased,ieee,prep0_aug0,seed_87212562,0.101191
bert-base-cased,ieee,prep0_aug0,seed_90995999,0.151692
bert-base-cased,ieee,prep0_aug0,seed_99511865,0.110967
bert-base-uncased,ieee,prep0_aug0,seed_14298463,0.089685
bert-base-uncased,ieee,prep0_aug0,seed_24677315,0.124152
bert-base-uncased,ieee,prep0_aug0,seed_37622020,0.093372
bert-base-uncased,ieee,prep0_aug0,seed_43782163,0.11878
bert-base-uncased,ieee,prep0_aug0,seed_52680723,0.101637
bert-base-uncased,ieee,prep0_aug0,seed_67351593,0.117583
bert-base-uncased,ieee,prep0_aug0,seed_70681460,0.145073
bert-base-uncased,ieee,prep0_aug0,seed_87212562,0.123031
bert-base-uncased,ieee,prep0_aug0,seed_90995999,0.095288
bert-base-uncased,ieee,prep0_aug0,seed_99511865,0.110725
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_14298463,0.161322
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_24677315,0.320696
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_37622020,0.379851
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_43782163,0.10732
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_52680723,0.15351
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_67351593,0.132335
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_70681460,0.133094
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_87212562,0.371563
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_90995999,0.114362
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_99511865,0.176669
distilbert-base-cased,ieee,prep0_aug0,seed_14298463,0.134774
distilbert-base-cased,ieee,prep0_aug0,seed_24677315,0.090144
distilbert-base-cased,ieee,prep0_aug0,seed_37622020,0.259327
distilbert-base-cased,ieee,prep0_aug0,seed_43782163,0.146267
distilbert-base-cased,ieee,prep0_aug0,seed_52680723,0.144908
distilbert-base-cased,ieee,prep0_aug0,seed_67351593,0.25719
distilbert-base-cased,ieee,prep0_aug0,seed_70681460,0.198768
distilbert-base-cased,ieee,prep0_aug0,seed_87212562,0.138774
distilbert-base-cased,ieee,prep0_aug0,seed_90995999,0.085857
distilbert-base-cased,ieee,prep0_aug0,seed_99511865,0.14657
distilbert-base-uncased,ieee,prep0_aug0,seed_14298463,0.204197
distilbert-base-uncased,ieee,prep0_aug0,seed_24677315,0.162156
distilbert-base-uncased,ieee,prep0_aug0,seed_37622020,0.147552
distilbert-base-uncased,ieee,prep0_aug0,seed_43782163,0.166995
distilbert-base-uncased,ieee,prep0_aug0,seed_52680723,0.123725
distilbert-base-uncased,ieee,prep0_aug0,seed_67351593,0.152441
distilbert-base-uncased,ieee,prep0_aug0,seed_70681460,0.151732
distilbert-base-uncased,ieee,prep0_aug0,seed_87212562,0.194126
distilbert-base-uncased,ieee,prep0_aug0,seed_90995999,0.32551
distilbert-base-uncased,ieee,prep0_aug0,seed_99511865,0.223149
google/mobilebert-uncased,ieee,prep0_aug0,seed_14298463,0.263352
google/mobilebert-uncased,ieee,prep0_aug0,seed_24677315,0.194171
google/mobilebert-uncased,ieee,prep0_aug0,seed_37622020,0.177605
google/mobilebert-uncased,ieee,prep0_aug0,seed_43782163,0.214385
google/mobilebert-uncased,ieee,prep0_aug0,seed_52680723,0.210201
google/mobilebert-uncased,ieee,prep0_aug0,seed_67351593,0.179439
google/mobilebert-uncased,ieee,prep0_aug0,seed_70681460,0.384903
google/mobilebert-uncased,ieee,prep0_aug0,seed_87212562,0.213305
google/mobilebert-uncased,ieee,prep0_aug0,seed_90995999,0.334679
google/mobilebert-uncased,ieee,prep0_aug0,seed_99511865,0.182686
gpt2,ieee,prep0_aug0,seed_14298463,0.327171
gpt2,ieee,prep0_aug0,seed_24677315,0.316556
gpt2,ieee,prep0_aug0,seed_37622020,0.219247
gpt2,ieee,prep0_aug0,seed_43782163,0.320149
gpt2,ieee,prep0_aug0,seed_52680723,0.254601
gpt2,ieee,prep0_aug0,seed_67351593,0.250209
gpt2,ieee,prep0_aug0,seed_70681460,0.251057
gpt2,ieee,prep0_aug0,seed_87212562,0.259186
gpt2,ieee,prep0_aug0,seed_90995999,0.249356
gpt2,ieee,prep0_aug0,seed_99511865,0.321332
roberta-base,ieee,prep0_aug0,seed_14298463,0.058665
roberta-base,ieee,prep0_aug0,seed_24677315,0.097873
roberta-base,ieee,prep0_aug0,seed_37622020,0.0864
roberta-base,ieee,prep0_aug0,seed_43782163,0.077712
roberta-base,ieee,prep0_aug0,seed_52680723,0.107683
roberta-base,ieee,prep0_aug0,seed_67351593,0.148033
roberta-base,ieee,prep0_aug0,seed_70681460,0.106356
roberta-base,ieee,prep0_aug0,seed_87212562,0.104238
roberta-base,ieee,prep0_aug0,seed_90995999,0.097814
roberta-base,ieee,prep0_aug0,seed_99511865,0.19096
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_14298463,0.160128
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_24677315,0.208269
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_37622020,0.163861
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_43782163,0.147398
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_52680723,0.193669
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_67351593,0.188676
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_70681460,0.210164
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_87212562,0.165239
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_90995999,0.156959
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_99511865,0.202267
vinai/bertweet-base,ieee,prep0_aug0,seed_14298463,0.100279
vinai/bertweet-base,ieee,prep0_aug0,seed_24677315,0.12586
vinai/bertweet-base,ieee,prep0_aug0,seed_37622020,0.15694
vinai/bertweet-base,ieee,prep0_aug0,seed_43782163,0.095734
vinai/bertweet-base,ieee,prep0_aug0,seed_52680723,0.12833
vinai/bertweet-base,ieee,prep0_aug0,seed_67351593,0.13507
vinai/bertweet-base,ieee,prep0_aug0,seed_70681460,0.117982
vinai/bertweet-base,ieee,prep0_aug0,seed_87212562,0.084683
vinai/bertweet-base,ieee,prep0_aug0,seed_90995999,0.057424
vinai/bertweet-base,ieee,prep0_aug0,seed_99511865,0.121044
xlnet-base-cased,ieee,prep0_aug0,seed_14298463,0.128632
xlnet-base-cased,ieee,prep0_aug0,seed_24677315,0.126442
xlnet-base-cased,ieee,prep0_aug0,seed_37622020,0.110358
xlnet-base-cased,ieee,prep0_aug0,seed_43782163,0.102375
xlnet-base-cased,ieee,prep0_aug0,seed_52680723,0.114445
xlnet-base-cased,ieee,prep0_aug0,seed_67351593,0.100571
xlnet-base-cased,ieee,prep0_aug0,seed_70681460,0.109625
xlnet-base-cased,ieee,prep0_aug0,seed_87212562,0.156405
xlnet-base-cased,ieee,prep0_aug0,seed_90995999,0.14093
xlnet-base-cased,ieee,prep0_aug0,seed_99511865,0.238431
GroNLP/hateBERT,kaggle,prep0_aug0,seed_14298463,0.048898
GroNLP/hateBERT,kaggle,prep0_aug0,seed_24677315,0.087607
GroNLP/hateBERT,kaggle,prep0_aug0,seed_37622020,0.057362
GroNLP/hateBERT,kaggle,prep0_aug0,seed_43782163,0.04086
GroNLP/hateBERT,kaggle,prep0_aug0,seed_52680723,0.052616
GroNLP/hateBERT,kaggle,prep0_aug0,seed_67351593,0.034634
GroNLP/hateBERT,kaggle,prep0_aug0,seed_70681460,0.039276
GroNLP/hateBERT,kaggle,prep0_aug0,seed_87212562,0.044918
GroNLP/hateBERT,kaggle,prep0_aug0,seed_90995999,0.0446
GroNLP/hateBERT,kaggle,prep0_aug0,seed_99511865,0.05517
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_14298463,0.034824
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_24677315,0.050707
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_37622020,0.045846
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_43782163,0.062126
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_52680723,0.054224
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_67351593,0.04221
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_70681460,0.066451
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_87212562,0.050948
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_90995999,0.065026
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_99511865,0.080037
albert/albert-base-v2,kaggle,prep0_aug0,seed_14298463,0.057363
albert/albert-base-v2,kaggle,prep0_aug0,seed_24677315,0.059647
albert/albert-base-v2,kaggle,prep0_aug0,seed_37622020,0.099776
albert/albert-base-v2,kaggle,prep0_aug0,seed_43782163,0.106485
albert/albert-base-v2,kaggle,prep0_aug0,seed_52680723,0.057937
albert/albert-base-v2,kaggle,prep0_aug0,seed_67351593,0.060337
albert/albert-base-v2,kaggle,prep0_aug0,seed_70681460,0.059713
albert/albert-base-v2,kaggle,prep0_aug0,seed_87212562,0.080342
albert/albert-base-v2,kaggle,prep0_aug0,seed_90995999,0.056582
albert/albert-base-v2,kaggle,prep0_aug0,seed_99511865,0.047385
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_14298463,0.109991
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_24677315,0.100846
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_37622020,0.060498
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_43782163,0.179965
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_52680723,0.055136
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_67351593,0.081496
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_70681460,0.054464
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_87212562,0.072065
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_90995999,0.089816
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_99511865,0.093319
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_14298463,0.075962
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_24677315,0.169061
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_37622020,0.067437
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_43782163,0.087991
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_52680723,0.092559
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_67351593,0.082605
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_70681460,0.083021
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_87212562,0.132318
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_90995999,0.092069
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_99511865,0.074644
all-distilroberta-v1,kaggle,prep0_aug0,seed_14298463,0.049747
all-distilroberta-v1,kaggle,prep0_aug0,seed_24677315,0.052158
all-distilroberta-v1,kaggle,prep0_aug0,seed_37622020,0.065333
all-distilroberta-v1,kaggle,prep0_aug0,seed_43782163,0.040914
all-distilroberta-v1,kaggle,prep0_aug0,seed_52680723,0.040479
all-distilroberta-v1,kaggle,prep0_aug0,seed_67351593,0.05335
all-distilroberta-v1,kaggle,prep0_aug0,seed_70681460,0.156798
all-distilroberta-v1,kaggle,prep0_aug0,seed_87212562,0.055171
all-distilroberta-v1,kaggle,prep0_aug0,seed_90995999,0.05705
all-distilroberta-v1,kaggle,prep0_aug0,seed_99511865,0.050517
all-mpnet-base-v2,kaggle,prep0_aug0,seed_14298463,0.135152
all-mpnet-base-v2,kaggle,prep0_aug0,seed_24677315,0.045387
all-mpnet-base-v2,kaggle,prep0_aug0,seed_37622020,0.09226
all-mpnet-base-v2,kaggle,prep0_aug0,seed_43782163,0.068163
all-mpnet-base-v2,kaggle,prep0_aug0,seed_52680723,0.113936
all-mpnet-base-v2,kaggle,prep0_aug0,seed_67351593,0.159403
all-mpnet-base-v2,kaggle,prep0_aug0,seed_70681460,0.054754
all-mpnet-base-v2,kaggle,prep0_aug0,seed_87212562,0.049167
all-mpnet-base-v2,kaggle,prep0_aug0,seed_90995999,0.1022
all-mpnet-base-v2,kaggle,prep0_aug0,seed_99511865,0.066938
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_14298463,0.063289
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_24677315,0.087622
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_37622020,0.0883
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_43782163,0.049968
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_52680723,0.060551
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_67351593,0.048428
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_70681460,0.156252
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_87212562,0.062284
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_90995999,0.085811
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_99511865,0.051376
bert-base-cased,kaggle,prep0_aug0,seed_14298463,0.128323
bert-base-cased,kaggle,prep0_aug0,seed_24677315,0.052799
bert-base-cased,kaggle,prep0_aug0,seed_37622020,0.034047
bert-base-cased,kaggle,prep0_aug0,seed_43782163,0.049635
bert-base-cased,kaggle,prep0_aug0,seed_52680723,0.051417
bert-base-cased,kaggle,prep0_aug0,seed_67351593,0.068459
bert-base-cased,kaggle,prep0_aug0,seed_70681460,0.037974
bert-base-cased,kaggle,prep0_aug0,seed_87212562,0.059329
bert-base-cased,kaggle,prep0_aug0,seed_90995999,0.073467
bert-base-cased,kaggle,prep0_aug0,seed_99511865,0.047874
bert-base-uncased,kaggle,prep0_aug0,seed_14298463,0.050351
bert-base-uncased,kaggle,prep0_aug0,seed_24677315,0.077431
bert-base-uncased,kaggle,prep0_aug0,seed_37622020,0.071289
bert-base-uncased,kaggle,prep0_aug0,seed_43782163,0.038681
bert-base-uncased,kaggle,prep0_aug0,seed_52680723,0.069362
bert-base-uncased,kaggle,prep0_aug0,seed_67351593,0.055234
bert-base-uncased,kaggle,prep0_aug0,seed_70681460,0.080171
bert-base-uncased,kaggle,prep0_aug0,seed_87212562,0.040976
bert-base-uncased,kaggle,prep0_aug0,seed_90995999,0.168229
bert-base-uncased,kaggle,prep0_aug0,seed_99511865,0.068455
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_14298463,0.052046
